-110	23														
-120	Animal	Exp	Trial	Date	Time	Phase	Fre No. Phase	Fre No. Part	Time from [s]	Time to [s]	Dur. [s]	Part No. Start	Part No. End	Name Start	Name End
-900	10005	1	1	06.06.2018	13:42	4	17	17	38,53	39,80	1,27	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	18	18	39,83	40,51	0,68	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	19	19	40,53	50,17	9,64	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	20	20	50,17	51,16	0,99	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	21	21	51,80	52,43	0,63	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	22	22	52,43	53,86	1,43	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	23	23	53,86	55,47	1,61	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	24	24	55,47	57,27	1,80	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	25	25	58,06	60,62	2,56	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	26	26	60,62	61,44	0,82	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	27	27	61,44	62,07	0,63	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	28	28	62,39	79,52	17,13	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	29	29	79,52	81,56	2,04	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	30	30	82,06	86,71	4,65	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	31	31	86,71	87,82	1,11	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	32	32	87,82	89,16	1,34	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	33	33	89,16	89,67	0,51	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	34	34	89,67	114,62	24,95	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	35	35	114,63	116,12	1,49	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	36	36	116,12	122,95	6,83	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	37	37	122,95	127,60	4,65	1	1	Habituation	Habituation
