"seconds","M_10005","average","SE"
1.02,-3.87343186248588,-3.87343186248588,NA
1.03,-3.89279763827394,-3.89279763827394,NA
1.04,-3.91367688308011,-3.91367688308011,NA
1.05,-3.93602553904152,-3.93602553904152,NA
1.06,-3.95978882805375,-3.95978882805375,NA
1.07,-3.9849017860661,-3.9849017860661,NA
1.08,-4.01128991794392,-4.01128991794392,NA
1.09,-4.03886996174681,-4.03886996174681,NA
1.1,-4.06755075059958,-4.06755075059958,NA
1.11,-4.09723415932899,-4.09723415932899,NA
1.12,-4.12781612164457,-4.12781612164457,NA
1.13,-4.15918770192958,-4.15918770192958,NA
1.14,-4.19123620545461,-4.19123620545461,NA
1.15,-4.22384631116653,-4.22384631116653,NA
1.16,-4.25690121016041,-4.25690121016041,NA
1.17,-4.29028373246056,-4.29028373246056,NA
1.18,-4.32387744497181,-4.32387744497181,NA
1.19,-4.3575677042857,-4.3575677042857,NA
1.2,-4.39124265048505,-4.39124265048505,NA
1.21,-4.42479412907363,-4.42479412907363,NA
1.22,-4.45811852846872,-4.45811852846872,NA
1.23,-4.49111752205205,-4.49111752205205,NA
1.24,-4.52369870537975,-4.52369870537975,NA
1.25,-4.55577612374881,-4.55577612374881,NA
1.26,-4.58727068762351,-4.58727068762351,NA
1.27,-4.61811047201396,-4.61811047201396,NA
1.28,-4.64823089775245,-4.64823089775245,NA
1.29,-4.67757479653953,-4.67757479653953,NA
1.3,-4.70609236382789,-4.70609236382789,NA
1.31,-4.73374100381581,-4.73374100381581,NA
1.32,-4.76048507199773,-4.76048507199773,NA
1.33,-4.78629552476948,-4.78629552476948,NA
1.34,-4.81114948790088,-4.81114948790088,NA
1.35,-4.83502975472167,-4.83502975472167,NA
1.36,-4.85792422524273,-4.85792422524273,NA
1.37,-4.87982530005499,-4.87982530005499,NA
1.38,-4.90072924349243,-4.90072924349243,NA
1.39,-4.9206355290236,-4.9206355290236,NA
1.4,-4.93954617915208,-4.93954617915208,NA
1.41,-4.95746511369799,-4.95746511369799,NA
1.42,-4.97439752087935,-4.97439752087935,NA
1.43,-4.99034926270279,-4.99034926270279,NA
1.44,-5.00532632422836,-5.00532632422836,NA
1.45,-5.01933431795873,-5.01933431795873,NA
1.46,-5.03237805485752,-5.03237805485752,NA
1.47,-5.04446118967035,-5.04446118967035,NA
1.48,-5.05558594532604,-5.05558594532604,NA
1.49,-5.06575292048466,-5.06575292048466,NA
1.5,-5.07496098449257,-5.07496098449257,NA
1.51,-5.0832072613771,-5.0832072613771,NA
1.52,-5.09048720108973,-5.09048720108973,NA
1.53,-5.09679473664376,-5.09679473664376,NA
1.54,-5.10212252557821,-5.10212252557821,NA
1.55,-5.10646227148015,-5.10646227148015,NA
1.56,-5.10980511691707,-5.10980511691707,NA
1.57,-5.11214209734122,-5.11214209734122,NA
1.58,-5.11346464656376,-5.11346464656376,NA
1.59,-5.11376514467443,-5.11376514467443,NA
1.6,-5.11303749950259,-5.11303749950259,NA
1.61,-5.11127775125813,-5.11127775125813,NA
1.62,-5.1084846872629,-5.1084846872629,NA
1.63,-5.10466045343644,-5.10466045343644,NA
1.64,-5.09981115038071,-5.09981115038071,NA
1.65,-5.0939474033393,-5.0939474033393,NA
1.66,-5.08708489559766,-5.08708489559766,NA
1.67,-5.07924485360977,-5.07924485360977,NA
1.68,-5.07045447235378,-5.07045447235378,NA
1.69,-5.06074727121489,-5.06074727121489,NA
1.7,-5.05016337347508,-5.05016337347508,NA
1.71,-5.03874970222938,-5.03874970222938,NA
1.72,-5.02656008680794,-5.02656008680794,NA
1.73,-5.01365527619031,-5.01365527619031,NA
1.74,-5.00010285706521,-5.00010285706521,NA
1.75,-4.9859770752421,-4.9859770752421,NA
1.76,-4.97135855888529,-4.97135855888529,NA
1.77,-4.95633394328913,-4.95633394328913,NA
1.78,-4.94099539969429,-4.94099539969429,NA
1.79,-4.92544007277122,-4.92544007277122,NA
1.8,-4.90976943206866,-4.90976943206866,NA
1.81,-4.89408854449231,-4.89408854449231,NA
1.82,-4.87850527634541,-4.87850527634541,NA
1.83,-4.86312943233339,-4.86312943233339,NA
1.84,-4.84807183817065,-4.84807183817065,NA
1.85,-4.83344337527925,-4.83344337527925,NA
1.86,-4.81935397850439,-4.81935397850439,NA
1.87,-4.80591161131831,-4.80591161131831,NA
1.88,-4.79322123142655,-4.79322123142655,NA
1.89,-4.78138375552986,-4.78138375552986,NA
1.9,-4.77049503242491,-4.77049503242491,NA
1.91,-4.76064483611468,-4.76064483611468,NA
1.92,-4.75191589182765,-4.75191589182765,NA
1.93,-4.74438294538588,-4.74438294538588,NA
1.94,-4.73811188508514,-4.73811188508514,NA
1.95,-4.73315892626144,-4.73315892626144,NA
1.96,-4.72956986848121,-4.72956986848121,NA
1.97,-4.72737943490769,-4.72737943490769,NA
1.98,-4.72661070246334,-4.72661070246334,NA
1.99,-4.72727462897257,-4.72727462897257,NA
2,-4.72936968273156,-4.72936968273156,NA
