"seconds","M_10005","M_10006","average","SE"
-0.04,-0.730061913692125,-2.92617020085535,-1.82811605727374,1.09805414358161
-0.03,-0.731945340296885,-2.92348987368211,-1.8277176069895,1.09577226669261
-0.02,-0.734310456873962,-2.91823026059987,-1.82627035873692,1.09195990186295
-0.01,-0.737153162437771,-2.91032261517603,-1.8237378888069,1.08658472636913
0,-0.740474076696584,-2.8997128810829,-1.82009347888974,1.07961940219316
0.0100000000000002,-0.744278927350227,-2.88635983140128,-1.81531937937575,1.07104045202553
0.02,-0.748578921932087,-2.87023318837395,-1.80940605515302,1.06082713322093
0.0300000000000002,-0.753391095221605,-2.85131177891509,-1.80235143706835,1.04896034184674
0.04,-0.758738620769372,-2.82958177987088,-1.79416020032012,1.03542157955075
0.0499999999999998,-0.764651073538454,-2.80503510889749,-1.78484309121797,1.02019201767952
0.0600000000000001,-0.771164631029867,-2.777668013406,-1.77441632221793,1.00325169118807
0.0699999999999998,-0.778322200515164,-2.74747990106002,-1.76290105078759,0.984578850272429
0.0800000000000001,-0.786173460363385,-2.71447244700055,-1.75032295368197,0.964149493318582
0.0899999999999999,-0.794774804503489,-2.67864900252821,-1.73671190351585,0.941937099012359
0.1,-0.804189176103052,-2.64001432510399,-1.72210175060352,0.917912574500471
0.11,-0.814485774048833,-2.59857464624022,-1.70653021014453,0.892044436095694
0.12,-0.825739617780905,-2.55433808268783,-1.69003885023437,0.864299232453462
0.13,-0.838030957936302,-2.50731538453921,-1.67267317123776,0.834642213301453
0.14,-0.851444523367694,-2.45752100298256,-1.65448276317513,0.803038239807432
0.15,-0.866068600154867,-2.40497445184821,-1.63552152600154,0.769452925846674
0.16,-0.881993941821819,-2.34970193316078,-1.6158479374913,0.73385399566948
0.17,-0.899312509213346,-2.29173819096561,-1.59552535008948,0.696212840876134
0.18,-0.918116041762813,-2.23112854705066,-1.57462229440674,0.656506252643922
0.19,-0.93849446625271,-2.16793106352359,-1.55321276488815,0.614718298635442
0.2,-0.960534154212263,-2.10221877535061,-1.53137646478144,0.570842310569176
0.21,-0.984316044659071,-2.03408193233803,-1.50919898849855,0.524882943839479
0.22,-1.00991364791362,-1.96363018646273,-1.48677191718817,0.476858269274555
0.23,-1.03739094811393,-1.89099465900527,-1.4641928035596,0.426801855445671
0.24,-1.06680023043887,-1.81632982300133,-1.4415650267201,0.37476479628123
0.25,-1.09817986535265,-1.73981514352354,-1.4189975044381,0.320817639085447
0.26,-1.13155208626058,-1.66165641906945,-1.39660425266501,0.265052166404435
0.27,-1.16692079908843,-1.58208676949267,-1.37450378429055,0.207582985202119
0.28,-1.20426946238006,-1.50136721928592,-1.35281834083299,0.148548878452928
0.29,-1.24355907738137,-1.41978683404439,-1.33167295571288,0.0881138783315097
0.3,-1.28472632598176,-1.3376623796924,-1.31119435283708,0.0264680268553199
0.31,-1.3276818948612,-1.25533748026529,-1.29150968756324,0.0361722072979548
0.32,-1.37230902818093,-1.17318125823625,-1.27274514320859,0.0995638849723377
0.33,-1.41846235196429,-1.09158645085136,-1.25502440140783,0.163437950556463
0.34,-1.46596700945121,-1.01096700772605,-1.23846700858863,0.227500000862577
0.35,-1.5146181411744,-0.93175518604884,-1.22318666361162,0.291431477562781
0.36,-1.56418073894735,-0.854398169060478,-1.20928945400391,0.354891284943437
0.37,-1.61438990090747,-0.779354240307972,-1.19687207060772,0.41751783029975
0.38,-1.66495151205983,-0.707088556308447,-1.18602003418414,0.47893147787569
0.39,-1.71554336984237,-0.638068573189981,-1.17680597151617,0.538737398326193
0.4,-1.76581676470367,-0.572759188380822,-1.16928797654224,0.596528788161423
0.41,-1.81539851526394,-0.511617661344726,-1.16350808830433,0.651890426959608
0.42,-1.86389345214818,-0.455088383398092,-1.15949091777314,0.704402534375046
0.43,-1.91088733952085,-0.40359757448575,-1.1572424570033,0.753644882517552
0.44,-1.95595021947653,-0.357547987451585,-1.15674910346406,0.799201116012473
0.45,-1.99864015535795,-0.317313701337778,-1.15797692834787,0.840663227010087
0.46,-2.03850733993782,-0.283235085307532,-1.16087121262268,0.877636127315144
0.47,-2.07509852938489,-0.255614010805057,-1.16535627009497,0.909742259289917
0.48,-2.10796175461563,-0.23470938563543,-1.17133557012553,0.9366261844901
0.49,-2.13665125150604,-0.220733082134207,-1.17869216682013,0.957959084685919
0.5,-2.16073254875925,-0.213846325906094,-1.18728943733267,0.973443111426576
0.51,-2.17978765078772,-0.214156600986184,-1.19697212588695,0.982815524900768
0.52,-2.19342025153279,-0.22171512160656,-1.20756768656967,0.985852564963115
0.53,-2.20126091173429,-0.236514914664357,-1.21888791319933,0.982372998534969
0.54,-2.20297212554252,-0.258489548116775,-1.23073083682965,0.972241288712874
0.55,-2.19825320146598,-0.287512528996794,-1.24288286523139,0.955370336234593
0.56,-2.1868448847802,-0.323397383163067,-1.25512113397163,0.931723750808564
0.57,-2.16853365212752,-0.365898417552543,-1.26721603484003,0.90131761728749
0.58,-2.14315560951967,-0.414712155805875,-1.27893388266277,0.864221726856899
0.59,-2.11059992756202,-0.46947943022161,-1.29003967889181,0.820560248670205
0.6,-2.07081175603848,-0.529788101480906,-1.30029992875969,0.770511827278785
0.61,-2.02379456516864,-0.595176365580303,-1.30948546537447,0.71430909979417
0.62,-1.9696118656044,-0.665136601178588,-1.3173742333915,0.652237632212908
0.63,-1.90838826758598,-0.73911970457531,-1.32375398608064,0.584634281505333
0.64,-1.84030984962361,-0.816539853365621,-1.32842485149461,0.511884998128992
0.65,-1.76562381849324,-0.89677963128246,-1.33120172488785,0.434422093605389
0.66,-1.68463745143616,-0.979195441380886,-1.33191644640852,0.352721005027637
0.67,-1.59771632057549,-1.06312313565315,-1.33041972811432,0.267296592461173
0.68,-1.50528180969303,-1.14788378705809,-1.32658279837556,0.178699011317471
0.69,-1.40780794199788,-1.23278952813287,-1.32029873506538,0.0875092069325045
0.7,-1.30581755005055,-1.31714938269044,-1.31148346637049,0.00566591631994562
0.71,-1.19987783104422,-1.40027502280606,-1.30007642692514,0.100198595880922
0.72,-1.09059533771723,-1.48148638547134,-1.28604086159429,0.195445523877051
0.73,-0.97861046329829,-1.56011708288624,-1.26936377309227,0.290753309793977
0.74,-0.864591488735306,-1.63551954469427,-1.25005551671479,0.385464027979484
0.75,-0.749228265784706,-1.7070698396506,-1.22814905271765,0.478920786932947
0.76,-0.633225614515824,-1.77417213505015,-1.20369887478299,0.570473260267161
0.77,-0.517296520811807,-1.83626276173534,-1.17677964127357,0.659483120461766
0.78,-0.402155224015859,-1.89281385618542,-1.14748454010064,0.745329316084779
0.79,-0.288510285653055,-1.94333655629676,-1.11592342097491,0.827413135321853
0.8,-0.177057729544707,-1.98738373764515,-1.08222073359493,0.905163004050221
0.81,-0.0684743395787119,-2.02455228585813,-1.04651331271842,0.978038973139709
0.82,0.0365888002737386,-2.05448490945636,-1.00894805459131,1.04553685486505
0.83,0.137512438877929,-2.07687150525617,-0.969679533189121,1.10719197206705
