"","seconds","X1","X2","X3","X4","average","SE"
"168",-0.33,-6.17110366684869,7.32332681727855,-3.42996573338627,-9.0515904061599,-2.83233324727908,3.57445967313225
"169",-0.32,-6.09210772998593,7.27324671007702,-3.38508773713948,-9.0059966885175,-2.80248636139147,3.54923665992633
"170",-0.31,-6.00965755442714,7.17899800436146,-3.34095539062793,-8.93721624020964,-2.77720779522581,3.50996534601946
"171",-0.3,-5.92357821866837,7.04037539447569,-3.29757135894836,-8.84484538939194,-2.75640489313325,3.45651389526439
"172",-0.29,-5.83371057898006,6.85765629010118,-3.25497267679221,-8.72876055471792,-2.73994688009725,3.38890962353322
"173",-0.28,-5.73991334202414,6.63160712887542,-3.21323406649951,-8.58912631005766,-2.72766664742647,3.3073418438378
"174",-0.27,-5.64206521485361,6.36348365280866,-3.17247057548479,-8.42639986802742,-2.71936300138929,3.21216266507906
"175",-0.26,-5.5400671232317,6.05502508050481,-3.13283944001312,-8.24133184714556,-2.71480333247139,3.1038857030495
"176",-0.25,-5.43384448591302,5.70844217992669,-3.09454109431516,-8.03496323872428,-2.71372665975644,2.9831826868187
"177",-0.24,-5.32334952490393,5.32639932593736,-3.05781925917388,-7.80861853659972,-2.71584699868504,2.85087796907196
"178",-0.23,-5.20856358110859,4.91199071401542,-3.02296005911848,-7.56389504047351,-2.72085699167129,2.7079409763823
"179",-0.22,-5.08949940241196,4.46871098208231,-2.99029013143055,-7.30264839496719,-2.72843173668185,2.55547666284674
"180",-0.21,-4.96620337010935,4.00042057111752,-2.96017370225087,-7.02697448206856,-2.73823274582782,2.39471405907802
"181",-0.2,-4.838757628993,3.51130623211954,-2.93300862816605,-6.73918783551361,-2.74991196513828,2.22699303769021
"182",-0.19,-4.70728208260899,3.00583714798636,-2.90922143040263,-6.44179679079815,-2.76311578895585,2.05374944385891
"183",-0.18,-4.57193620410302,2.48871720279231,-2.88926137089662,-6.13747563294009,-2.77748900128686,1.87649877376
